OppTeam,team,pakistan wins or LOSS,ENGLAND WIN OR LOSS,australia win or loss
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
pakistan,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
australia,england,0,1,0
